question,answer,category
"how do i create a profile","Click on Profile in the top navigation and complete your account details. Workers should add skills and experience while employers should add company information.","profile"
"how to apply for jobs","Open the Jobs page, pick a role that matches your skills, then click Apply and submit your proposal.","jobs"
"what is the difference between worker and employer accounts","Workers apply for jobs and offer services while employers post jobs and manage applicants.","account"
"how to start a conversation","Go to Messages and open a conversation from the list or start a new one from a worker or job card.","messaging"
"can i attach files to messages","Yes. Use the attachment option in the message box to send supported files within the size limits.","messaging"
"how to improve my job matches","Complete your profile, add relevant skills, keep availability updated, and apply to jobs in your service area.","jobs"
"what is the ai assistant for","The AI assistant helps with platform questions, messaging suggestions, and onboarding guidance.","ai"
"how to report inappropriate messages","Open the message actions menu and choose Report so the moderation team can review it.","safety"
"can users with different roles message each other","Yes. Workers, employers, and admins can message each other based on platform permissions.","messaging"
"how to delete my own message","Use the message actions menu on your message and select Delete.","messaging"
"what if an employer cannot verify their business documents","Place the employer account in restricted mode, request re-submission, and block job publishing until verification is approved.","verification_dispute"
"what if a worker fails identity verification after being shortlisted","Freeze hiring actions for that worker, notify employer, and require successful KYC before contract award.","verification_dispute"
"what if a verified account is later suspected as fraudulent","Suspend payouts and new bookings, run enhanced review, and restore only after fraud checks are cleared.","fraud_dispute"
"what if employer and worker claim ownership of the same phone number","Lock contact update flow and require both parties to pass step-up verification before resolving ownership.","account_dispute"
"what happens when duplicate worker accounts are discovered","Merge or deactivate duplicates after verification review and preserve message and payment audit trails.","account_dispute"
"what if an employer posts misleading job details to attract applicants","Flag listing, request correction, and penalize repeated violations with listing suspension.","job_post_dispute"
"what if a worker reports hidden requirements added after application","Record evidence from original post version history and enforce post-change transparency rules.","job_post_dispute"
"what if salary range in listing is not honored during hiring","Treat as compensation misrepresentation, require corrected offer terms, and apply policy warnings for repeat abuse.","job_post_dispute"
"what if employer changes location after receiving applications","Notify all applicants, allow penalty-free withdrawal, and re-consent only interested workers.","job_post_dispute"
"what if a worker claims employer invited unpaid trial work","Classify as labor exploitation risk, stop activity, and require paid trial terms or cancel posting.","hiring_dispute"
"what if employer claims worker accepted offer then disappeared","Mark no-show evidence window, release replacement workflow, and update reliability scoring with due process.","hiring_dispute"
"what if both sides dispute whether offer acceptance occurred","Use in-platform acceptance logs and timestamped actions as source of truth.","hiring_dispute"
"what if a worker starts work without confirmed contract milestone","Pause disputed milestone billing and require retroactive scope confirmation signed by both parties.","scope_dispute"
"what if employer keeps adding tasks not in original scope","Trigger change-order flow with cost and timeline impacts before additional work proceeds.","scope_dispute"
"what if worker refuses newly added tasks citing skill mismatch","Enforce scope boundaries and route unresolved additions to structured renegotiation.","scope_dispute"
"what if parties disagree on what deliverable completion means","Apply predefined acceptance criteria and evidence checklist from milestone definition.","acceptance_dispute"
"what if employer marks milestone incomplete without giving reasons","Require defect list with timestamps and allow worker correction window before rejection stands.","acceptance_dispute"
"what if worker submits poor-quality photos as proof of completion","Request standardized evidence set and independent review when quality is contested.","quality_dispute"
"what if employer alleges workmanship defects after approving milestone","Allow post-acceptance defect claim only within policy window and based on verifiable defect evidence.","quality_dispute"
"what if worker says defects are due to bad materials from employer","Separate workmanship and material liability using procurement logs and site instructions.","quality_dispute"
"what if worker reports unsafe working environment on site","Escalate as safety-critical incident, pause work, and require corrective actions before continuation.","safety_dispute"
"what if employer reports worker repeatedly violating safety procedures","Issue safety warning process, mandate retraining, and allow termination for severe repeated breaches.","safety_dispute"
"what if an accident occurs and both sides blame each other","Open incident case, preserve evidence, notify required authorities, and hold payouts pending responsibility review.","safety_dispute"
"what if weather delays outdoor job deadlines","Apply force majeure or delay policy with updated schedule agreed by both parties.","schedule_dispute"
"what if worker arrives late repeatedly","Track attendance logs, apply warning thresholds, and allow replacement after documented non-performance.","schedule_dispute"
"what if employer repeatedly postpones access to worksite","Adjust deadlines, preserve worker availability compensation rights where policy allows.","schedule_dispute"
"what if one party communicates only off-platform and later disputes terms","Prioritize in-platform records and warn users that off-platform agreements reduce dispute protection.","communication_dispute"
"what if abusive language is used in project chat","Apply conduct policy, mute or suspend offender, and preserve logs for moderation review.","communication_dispute"
"what if employer withholds milestone approval to avoid payment","Auto-escalate to review after timeout and decide based on submitted evidence.","payment_dispute"
"what if worker demands upfront payment outside platform","Block off-platform payment requests and enforce escrow or milestone policy.","payment_dispute"
"what if employer says worker abandoned project after partial payment","Assess completion percentage and process proportional settlement after evidence review.","payment_dispute"
"what if worker claims payment is delayed despite approved milestone","Check payment rail status, release from escrow if approved, and notify both parties of ETA.","payment_dispute"
"what if employer disputes overtime charges","Require pre-approved overtime evidence and signed additional-hours confirmation.","payment_dispute"
"what if worker disputes platform service fee deducted from payout","Show fee breakdown, contractually agreed fee terms, and dispute-calculation path.","platform_fee_dispute"
"what if employer disputes platform commission on completed job","Provide invoice and terms acceptance logs and process billing correction only if computation error exists.","platform_fee_dispute"
"what if both employer and worker are charged service fees and one party challenges fairness","Provide bilateral fee policy explanation and role-specific value rationale with transparent rate tables.","platform_fee_dispute"
"what if employer requests full refund after worker has completed part of the work","Use milestone completion evidence and grant partial refund based on unmet deliverables.","refund_dispute"
"what if worker requests cancellation fee after employer cancels late","Apply cancellation window policy and compensate worker where late cancellation rules apply.","cancellation_dispute"
"what if worker cancels after receiving advance","Recover unearned amount from escrow or future payouts according to policy.","cancellation_dispute"
"what if employer repeatedly creates and cancels jobs causing worker losses","Flag abuse pattern and enforce anti-abuse penalties or account restrictions.","cancellation_dispute"
"what if chargeback is filed after job completion","Open payment reversal case, freeze disputed funds where possible, and submit delivery evidence to payment provider.","chargeback_dispute"
"what if employer claims unauthorized transaction on platform","Run fraud checks, step-up authentication, and coordinate with payment processor investigation.","chargeback_dispute"
"what if worker claims payout account was changed maliciously","Lock payout profile, require re-verification, and investigate account access logs.","security_dispute"
"what if login session was hijacked and messages were sent","Invalidate sessions, force credential reset, and tag potentially compromised actions for review.","security_dispute"
"what if personal phone numbers were exposed in dispute attachments","Redact sensitive data and enforce attachment privacy controls and retention policies.","privacy_dispute"
"what if employer accuses worker of stealing tools or materials","Route to evidence-based incident workflow and advise legal/police escalation for criminal allegations.","property_dispute"
"what if worker accuses employer of withholding personal tools","Hold project closure until tool return evidence or compensation decision is recorded.","property_dispute"
"what if employer claims worker damaged client property","Require before-after evidence and independent estimate before deduction decisions.","property_dispute"
"what if worker claims false negative review used as retaliation","Allow review appeal when tied to proven abuse or policy-violating content.","review_dispute"
"what if employer says worker blackmailed for positive review","Preserve messages, remove coercive review requests, and apply account sanctions.","review_dispute"
"what if both parties leave conflicting ratings after settled dispute","Allow both reviews but attach dispute resolution outcome context where policy permits.","review_dispute"
"what if worker alleges discrimination by employer during selection","Escalate to trust and safety, remove discriminatory listing language, and apply enforcement actions.","fairness_dispute"
"what if employer alleges worker used fake certificates","Verify credentials with issuer where possible and suspend profile until resolved.","credential_dispute"
"what if required permit is missing and project is stopped by local authority","Pause contract obligations temporarily and require compliance plan before restart.","compliance_dispute"
"what if tax invoice details are incorrect on completed transaction","Issue corrected invoice and maintain immutable audit log of amendment.","billing_dispute"
"what if employer requests cash payment to avoid taxes","Prohibit off-platform tax evasion attempts and apply policy enforcement.","compliance_dispute"
"what if worker disputes withholding tax deduction","Provide tax basis, jurisdiction rule reference, and support channel for formal tax documentation.","tax_dispute"
"what if client representative approved work but employer account owner rejects payment","Use delegated-approval policy and authorization logs to determine valid approver.","authority_dispute"
"what if subcontractor appears without employer approval","Require disclosure and prior consent clauses; unresolved violations may void milestone acceptance.","subcontracting_dispute"
"what if worker outsources job to unverified helper","Treat as unauthorized subcontracting and require replacement or contract review.","subcontracting_dispute"
"what if milestone deadline passes while dispute is unresolved","Freeze penalty clock where policy defines active dispute hold period.","penalty_dispute"
"what if employer imposes arbitrary penalties not in contract","Reject unsupported deductions and require contract-based penalty references.","penalty_dispute"
